"id","date","asked_by","context","question","answer_summary","verification_status","resources"
"1","06/03/2026","Mamtha","Demo/eval question","We are a Portfolio Manager (PM). One of our group companies is launching a high-yield Corporate Bond series. We want to invest 20% of our Discretionary PMS clients' assets into these bonds. 1. Is this 20% allocation permitted under current investment caps? 2. What is the specific 'Prior Consent' requirement before executing these trades?","No answer recorded in channel. System-prompt rules imply expected answer: Tier-2 regulation numerical limit (e.g. 15%) is an Absolute Ceiling that client consent CANNOT raise - 20% into group company exceeds related-party cap.","UNVERIFIED","PMS Regulations / Master Circular (demo KB); also reused 08/04 for citation testing"
"2","06/03/2026","Mamtha","Demo/eval question","An investor's funds were not unblocked 10 days after managed IPO closed - what is the liability and how to resolve this?","No answer recorded. Demo-prep ticket cites 'Rs. 130 per day compensation' as the numerical answer to demonstrate with attribution.","UNVERIFIED","ICDR/ASBA circulars (demo KB); demo-prep ticket"
"3","19/02/2026","Mamtha","Demo design (DRHP)","43-item DRHP compliance checklist mega-prompt: verify uploaded DRHP against SEBI ICDR checklist (capital structure, financials, issue details, governance) with status table, compliance score /100, page citations","Output not recorded in channel.","UNVERIFIED","ICDR Regulations 2018; DRHP PDFs; full prompt in chunk_01 findings"
"4","19/02/2026","Mamtha","Planned demo Q&A","Has SEBI taken any enforcement action against these promoters?","Planned answer source: enforcement orders PDF. No actual answer recorded.","UNANSWERED","Enforcement orders PDF (mock demo KB)"
"5","19/02/2026","Mamtha","Planned demo Q&A","Are there any investor complaints against this company?","Planned answer source: investor complaint DB (mock). No actual answer recorded.","UNANSWERED","Complaint DB mock"
"6","19/02/2026","Mamtha","Planned demo Q&A","What is the registration status of this Merchant Banker?","Planned: pull from e-registration DB mock + related clause from Master Circular PDF in one cited answer. No actual answer recorded.","UNANSWERED","e-registration DB mock + Master Circular PDF"
"7","05/05/2026","Mamtha","Eval question bank","Compare Version 1 and Version 2 of the DRHP","No answer recorded.","UNANSWERED","Eval seed - DRHP corpus"
"8","05/05/2026","Mamtha","Eval question bank","Did the company remove a 'Risk Factor' without explaining why in the revised filing?","No answer recorded.","UNANSWERED","Eval seed - DRHP corpus"
"9","05/05/2026","Mamtha","Eval question bank","Does this DRHP comply with ICDR Regulations?","No answer recorded.","UNANSWERED","Eval seed - ICDR + DRHP"
"10","05/05/2026","Mamtha","Eval question bank","List all transactions with Related Parties where the company provided unsecured loans or guarantees. What are the interest rates?","No answer recorded.","UNANSWERED","Eval seed - DRHP/RPT"
"11","05/05/2026","Mamtha","Eval question bank","Cross-reference names in the Board of Directors section against our Recovery Certificates (Defaulters List). Any matches?","No answer recorded.","UNANSWERED","Eval seed - cross-source"
"12","05/05/2026","Mamtha","Eval question bank","Based on the Merchant Banker Conduct circular, flag any Merchant Banker whose Success Rate disclosures don't match the standardized formula (April 2026 update)","No answer recorded.","UNANSWERED","Eval seed"
"13","05/05/2026","Mamtha","Eval question bank","The Jan 30 2026 Circular removed Letters of Confirmation (LOC) for direct credit of securities. Are any recovery certificates still erroneously demanding an LOC after the Apr 2 2026 effective date?","No answer recorded.","UNANSWERED","Jan 30 2026 LOC circular"
"14","05/05/2026","Mamtha","Eval question bank","Identify any Aadhaar or PAN scans uploaded for more than five different application IDs; extract Application IDs and flag for Senior Management review","No answer recorded.","UNANSWERED","Eval seed - KYC logs"
"15","08/05/2026","Harsha","Live search test","Find something on reliance","Not working despite Reliance docs scraped; failed even with open-large model. Root cause later: no domain metadata + ranking burial.","VERIFIED_FAILURE","sebi.gov.in/search.html?searchval=reliance returns data"
"16","08/05/2026","Harsha","Live search test","Locate sebi_data/mutualfundfile/may-2026/1778047488428.pdf","Not found even with open-large.","VERIFIED_FAILURE",""
"17","13/04/2026","Eval pipeline","Hard-question eval","What are the work experience requirements of the Young Professional Program?","Model: 'I cannot answer this question because no evidence or documents regarding the Young Professional Program were provided in the context' - retrieval/ingestion failure (docs not in Vespa).","VERIFIED_FAILURE","Diagnosis: identical low scores across Nemotron/Gemma/private-large = ingestion problem"
"18","11/05/2026","Officer Milind (via Aayush)","SEBI officer query patterns","Who was this order against?","Pattern captured for eval design; no specific answer recorded.","UNANSWERED","Milind session 11/05 via Mihir Sir intro"
"19","11/05/2026","Officer Milind / Venkatesan","Officer query","How many offenders from Reliance have been charged by SEBI in recent history?","Nemotron gave short answer needing follow-up; Sonnet & Kimi answered (texts not recorded). No ground truth established.","UNVERIFIED",""
"20","11/05/2026","Officer Milind / Venkatesan","Officer query","How many people with 'Patel' surname have been penalized and how much money have we recovered?","Claude exhaustive; Kimi different citations; Nemotron single line/failed initially. Context window overflow observed. No ground truth; comprehensiveness doubted (top-K cap).","UNVERIFIED","3-model comparison 11/05"
"21","11/05/2026","Officer Milind","Officer query pattern","What is the story of this case? (charged with ABC, penalized X, cleared by lower court, SEBI appealed, final verdict)","Pattern captured; storyline questions later tested via HBN Dairies (see id 38).","UNANSWERED",""
"22","11/05/2026","Officer Milind","Officer query pattern","Which all entities are related to X company (X-Y partners in one file, Y-Z in another => X-Z link)?","Pattern captured; SEBI already has a graph-based tool over structured DB for this.","UNANSWERED","SEBI internal graph software (CRACK Labs neo4j)"
"23","12/05/2026","Aniket","10-question eval Q1 (P1_entity)","Entity lookup: who is the noticee/defaulter in a specific SEBI order (with PAN/RC)?","PASS - correct doc + sister release order; complete and correct PAN/RC. 180s.","VERIFIED_CORRECT","10-q eval 12/05"
"24","12/05/2026","Aniket","10-question eval Q2 (P1_entity)","Who is the noticee/defaulter in the SEBI order dated 2026-02-27 titled 'compliance completion certificate for recovery certificate no 664'? Name, RC, PAN.","FAIL - empty answer; retrieval missed doc because title truncated to 'RC 664' vs actual 'RC 6648'.","VERIFIED_FAILURE","Target doc ..._664_100044.pdf exists in Vespa"
"25","12-14/05/2026","Aniket/Harsha","Eval Q (P2_count)","How many distinct entities/persons with surname 'Rao' appear as noticees/defaulters/penalised parties across SEBI orders?","System answered 1. Ground truth: >=38 docs. Root cause: no aggregation tool + no search pagination (DocMem stuck at 2 docs over 19 searches).","VERIFIED_WRONG","Eval ground truth >=38"
"26","12-14/05/2026","Aniket/Harsha","Eval Q (P3_aggregate)","Sum the demand amounts mentioned in all Notices of Demand issued in 2026 in this corpus","System: Rs 48.86 lakh (single chunk amount Rs 25,70,593 in first run). Ground truth: Rs 1.3-1.6 crore across 25 matching docs. Top-K cap.","VERIFIED_WRONG","Eval ground truth range"
"27","12-14/05/2026","Aniket/Harsha","Eval Q (P4_storyline)","Construct the timeline of SEBI proceedings against HBN Dairies (RC/SCN, attachments, auctions, sale confirmations, completions, final order) chronologically","Produced structured 17-row timeline Sep-2017 to Apr-2025 with 9 docs cited - qualitatively excellent but only 9 of 42 HBN docs (missed 29 sale confirmations). RC 1216/2017 is the recovery cycle.","PARTIAL","42 HBN docs in corpus; v4 eval set"
"28","12-14/05/2026","Aniket/Harsha","Eval Q (P5_similarity)","Find SEBI orders dealing with 'delay in IPO refund processing'","Correct answer is 'no evidence found' (eval intent). System crashed/timed out (zero tokens) instead of refusing.","VERIFIED_FAILURE","Planner had no give-up rule (22 searches + 37 listings)"
"29","12-14/05/2026","Aniket/Harsha","Eval Q (P6_relationship)","Which other entities are linked to Sumangal Industries Limited by co-mention?","17-entity answer judged 'perfect' content-wise but ALL citations lost (extractor never ran - pure code bug). First run: wall-clock timeout.","PARTIAL",""
"30","12-14/05/2026","Aniket/Harsha","Eval Q (P7_hierarchy)","For the Master Circular for Mutual Funds: (a) cite the latest MC in corpus (b) list circulars issued AFTER its date that amend it (c) any consultation paper proposing changes?","Identified June 27 2024 Master Circular + Sep-2024 & Nov-2024 amendments + Oct-2025 consultation paper - 'textbook answer'. Failed only substring scorer. Ground truth: 16 amending circulars + 6+ CPs exist.","VERIFIED_CORRECT_SUBSTANCE","MC dated 27 Jun 2024"
"31","12/05/2026","Aniket","Eval Q9 (P8_summary)","Summarise the document dated 2024-12-18 titled 'clarification' - announcement, key entities, operative effect/date","PASS - exact file found, perfect summary, correctly cited. 33s. (ODI clarification doc)","VERIFIED_CORRECT",""
"32","12/05/2026","Aniket","Eval Q10 (P9_factual)","For the SEBI e-auction public notice dated 2024-06-14: RC number, defaulter, property, reserve price, bid/auction dates","PASS - all facts correct (RC numbers, defaulter, property, reserve price, dates). 28s.","VERIFIED_CORRECT",""
"33","12/05/2026","Venkatesan","Test question","What are the non-compliance issues raised against Unicorn India Ventures Debt Fund?","Q1a (14/05 regression): answer found issues but MISSED the figure Rs 25,50,000 (paraphrased away). Citation caught via Postgres fallback.","PARTIAL","AIF Regulations 15(1)(f), 20(1), 20(2), 20(5)"
"34","12-19/05/2026","Venkatesan/Mamtha","Test question (follow-up)","Who are the other entities that violated the same set of AIF Regulations as Unicorn India Ventures in the past?","FAILED twice: (a) empty - Brick Eagle doc never retrieved (tokenizer splits '15(1)(f)'; doc ranked ~200); (b) later run derailed at ~9th thinking block back to the first question (hallucinated pivot). Relevant entity: Brick Eagle.","VERIFIED_FAILURE","Brick Eagle order; Reg 15(1)(f) AIF"
"35","12/05/2026","Venkatesan","Test question","What was the promoter shareholding % in Emcure Pharmaceuticals?","No answer recorded.","UNANSWERED",""
"36","12/05/2026","Venkatesan","Test question","Summarize SEBI vs Shardaraj Tradefin Ltd. & Ors.","No answer recorded.","UNANSWERED",""
"37","13/05/2026","Mamtha","3-model comparison","What are the minimum data requirements for the Structured Digital Database (SDD) regarding UPSI?","Worked on Sonnet AND Nemotron (Nemotron without citations). Answer text not recorded.","PARTIAL","PIT Regulations / SDD circulars"
"38","13/05/2026","Mamtha","3-model comparison","If an entity has passed a Settlement Order, can they later appeal the findings of fact to SAT?","Worked on Sonnet AND Nemotron (no Nemotron citations). Answer text not recorded.","PARTIAL","Settlement Proceedings Regulations 2018"
"39","13/05/2026","Mamtha","3-model comparison","Must a social media 'Finfluencer' display their SEBI Registration Number on YouTube videos?","Worked on Sonnet only; Nemotron failed.","PARTIAL",""
"40","13/05/2026","Mamtha","3-model comparison","During Recovery Proceedings, are there any assets belonging to a defaulter that are legally exempt from attachment?","Worked on Sonnet only; Nemotron failed.","PARTIAL",""
"41","13/05/2026","Mamtha","3-model comparison","When does a matter move from a SEBI-internal Order to a Special Court Order?","Worked on Sonnet only; Nemotron failed.","PARTIAL",""
"42","15/05/2026","Ritesh Sir (SEBI)","SEBI user test","Give me the directions issued against each noticee - penalty amount, debarment period or violations (single-doc chat on Reliance Home Finance final order 2024-08-22)","Answer not recorded in channel.","UNVERIFIED","2024-08-22_final-order-reliance-home-finance_86052.pdf (WTM/AN/CFID/CFID_1/30660/2024-25)"
"43","15/05/2026","Ritesh Sir (SEBI)","SEBI user test","List out SEBI orders having more than 15 noticees","Answer not recorded.","UNVERIFIED",""
"44","14/05/2026","Venkatesan","Ingestion test","Give me details of major corporate announcements by Bata India Ltd on BSE/NSE during IP and their price impact (UPSI-through-WhatsApp orders)","Answer not recorded.","UNVERIFIED","UPSI/WhatsApp circulation orders"
"45","14/05/2026","Venkatesan","Ingestion test","Chronological events related to Bata India financial results for quarter ended Dec 31 2015 (UPSI WhatsApp orders)","Answer not recorded.","UNVERIFIED",""
"46","17/05/2026","Eval set id=72","Circular lookup","What does SEBI circular SEBI/HO/MIRSDPoD-2/P/CIR/2023/90 require?","Vespa failed to return the expected file (circular itself not in corpus; expected adjacent adjudication order not surfaced). Legal-identifier tokenization failure.","VERIFIED_FAILURE","Expected: 2024-10-24_adjudication-order-arun-n-research-analyst_87953.pdf chunk 17"
"47","16/05/2026","Venkatesan (via ChatGPT)","DRHP Q&A 1/11","Top 10 customers contribute over 56% of FY25 revenue with no long-term contracts - what supports revenue visibility?","Purchase orders not long-term contracts; top-10 = 56.25% FY25 / 54.06% FY24 / 60.31% FY23; customers vary YoY; 'risk disclosure, not a strong answer'.","REFERENCE_ANSWER","DRHP Risk Factors p.33; MD&A p.290 (Vapi GIDC chemicals firm)"
"48","16/05/2026","Venkatesan","DRHP Q&A 2/11","Why did top 10 supplier concentration rise to 64.79% in FY25? Backup sourcing plan?","64.79% FY25 vs 49.43% FY24 / 47.96% FY23; no long-term supply contracts; no clear backup plan.","REFERENCE_ANSWER","DRHP Risk Factors p.35"
"49","16/05/2026","Venkatesan","DRHP Q&A 3/11","Current status and impact of the NGT pollution matter?","One of 500 units alleged discharging untreated effluents (Daman Ganga/Bill Khadi); GPCB Rs 2.50M paid Apr 5 2019; SC stayed NGT orders Nov 28 2022; pending.","REFERENCE_ANSWER","DRHP Litigation p.319-320"
"50","16/05/2026","Venkatesan","DRHP Q&A 4/11","What supports the Rs 3,100 million greenfield project?","Facility 4 at Plot 5202 Phase III GIDC Vapi; 99-yr lease to Dec 13 2088; total cost Rs 3,977.44M (TEV Report, Pankaj Jayantilal Gandhi); Rs 724.70M deployed; balance Rs 3,100M IPO + Rs 152.74M accruals; 3% contingency.","REFERENCE_ANSWER","DRHP Objects of the Issue p.99-101"
"51","16/05/2026","Venkatesan","DRHP Q&A 5/11","Have the objects of issue been appraised by any agency?","No; TEV Report supports greenfield cost; monitoring agency will be appointed.","REFERENCE_ANSWER","DRHP p.110"
"52","16/05/2026","Venkatesan","DRHP Q&A 6/11","Which loans will be repaid using the Rs 650 million?","Total borrowings Rs 2,035.13M as of Jul 31 2025; up to Rs 650M for repayment; selection by interest cost/prepayment terms; no quantified saving.","REFERENCE_ANSWER","DRHP p.106-107"
"53","16/05/2026","Venkatesan","DRHP Q&A 7/11","What about missing corporate records?","Untraceable allotment filings and share-transfer forms incl. promoter group; relied on board resolutions/transfer register/gift deeds; RoC informed Sept 4 2025.","REFERENCE_ANSWER","DRHP Risk Factors p.43"
"54","16/05/2026","Venkatesan","DRHP Q&A 8/11","Why did revenue fall in FY24 then rise sharply in FY25?","FY25 +51.21% (Rs 2,397.56M to 3,625.47M); FY24 -23.34% due to fire at part of Manufacturing Facility 3, production suspension, Unit 1 upgradation, lower NAPSA/ADMT/ANES sales.","REFERENCE_ANSWER","DRHP MD&A p.302/305-306"
"55","16/05/2026","Venkatesan","DRHP Q&A 9/11","Explain PAT fall and recovery","PAT -54.57% (Rs 563.41M FY23 to 255.94M FY24); FY25 Rs 519.18M; margin 10.52% to 14.06%.","REFERENCE_ANSWER","DRHP p.304-309"
"56","16/05/2026","Venkatesan","DRHP Q&A 10/11","Textile end-use concentration?","Textile Rs 1,287.23M / 35.51% of FY25 revenue; concentration across textiles, pharma, performance chemicals, personal care, agro-chemicals.","REFERENCE_ANSWER","DRHP Risk Factors p.33"
"57","16/05/2026","Venkatesan","DRHP Q&A 11/11","Nature of the Rs 274.85 million promoter/director tax proceeding?","IT Dept demand notice Mar 30 2025 to Harjindersingh Jaswantsingh Sarna (WTD & Chairman) under s.156 IT Act; appealed to CIT(A) Mar 31 2025; pending.","REFERENCE_ANSWER","DRHP p.321-322"
"58","17/05/2026","Venkatesan","Order-checking set","How did SEBI come to know about Jane Street malpractices?","No answer recorded.","UNANSWERED",""
"59","17/05/2026","Venkatesan","Order-checking set","Give me the timelines and case details of Jane Street from the corpus","No answer recorded.","UNANSWERED",""
"60","17/05/2026","Venkatesan","Order-checking set","Give me some SAT cases where SEBI won","No answer recorded.","UNANSWERED","(corpus fact: FY25 SAT - 73% disposed in SEBI's favour)"
"61","17/05/2026","Venkatesan","Order-checking set","Track all events in the Kunvaraji Finstock Private Ltd vs SEBI case with timelines","No answer recorded.","UNANSWERED",""
"62","18/05/2026","Boro Ma'am (SEBI)","Onsite user session","What can you tell me about the modified norms for nomination in demat accounts and mutual fund folios consultation published earlier?","FAILED - fetched related Aug 2025 PDF instead of the actual Mar 17 2026 consultation paper; links not resolving.","VERIFIED_FAILURE","Consultation paper 'modified norms for nomination in demat accounts and MF folios' Mar 17 2026"
