id,date,asked_by,pipeline,context,question,answer_summary,verification_status,resources,run_id,memory_id,frontier_id,question_type,difficulty_features,supporting_doc_ids,supporting_chunk_ids,review_status,review_notes
kimi_run_000012_q01,2026-07-31,Kimi+OpenCode,metadata knowledge graph,kimi_run_000012,"We are a Not-for-Profit Organization currently registered on a Social Stock Exchange. For the current financial year we have not listed any security and have not raised any funds through the exchange. What exactly do we have to file for the Annual Impact Report, and how does that filing package change the moment we raise funds through the exchange?","If the NPO is registered without listing any security, the Annual Impact Report is self-reported and does not need an external Social Impact Assessor report attached. The self-reported AIR must cover the NPO's significant activities, interventions, programs or projects during the year, explain the methodology used to determine significance, and treat any activity covered under a listed security as automatically significant. It must also cover at least 67% of the program expenditure in the previous financial year. Once the NPO raises funds through the SSE, the AIR must be duly assessed by a Social Impact Assessor and the NPO must disclose the assessor's report along with the AIR. In either case, the AIR must be submitted by October 31st of each year or before the due date of filing the income-tax return, whichever is later.",KIMI_REVIEW_ACCEPTED,"[""clf-a2qq7gb1xoviqo0cp5gpbx9o"", ""clf-bnxsalyuec7optc93j5t2m5f""]",kimi_run_000012,memory_0002,,applied_compliance_scenario,"[""threshold_trap"", ""conditional_filing_package"", ""self_reporting_vs_external_assessment""]","[""clf-a2qq7gb1xoviqo0cp5gpbx9o"", ""clf-bnxsalyuec7optc93j5t2m5f""]","[""clf-a2qq7gb1xoviqo0cp5gpbx9o#30"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#33"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#37"", ""clf-bnxsalyuec7optc93j5t2m5f#8"", ""clf-bnxsalyuec7optc93j5t2m5f#9""]",accepted,"Directly supported by clf-a2qq7gb1xoviqo0cp5gpbx9o#30 (91C Oct 31 due date), #33 (91E self-report + 67% threshold + significance methodology + listed-security auto-significance), and #37 (AIR assessed by SIA + disclose report). Clearly requires both Master Circular and Sep 2025 amendment; practical fund-raising trigger makes it human-shaped."
kimi_run_000012_q02,2026-07-31,Kimi+OpenCode,metadata knowledge graph,kimi_run_000012,"A compliance officer is updating the annual reporting checklist for an NPO registered on the Social Stock Exchange. She sees that the Master Circular has one governance list for the Regulation 91C annual disclosures and a different one for the Regulation 91E Annual Impact Report. What governance items appear only in the 91E list, what items were squeezed out of the 91C list in September 2025, and why did SEBI draw that line?","The Regulation 91C annual-disclosure list is the shorter operational list: outreach, top donors, top 5 programs, reporting of related-party transactions, a compliance-management statement from the senior decision maker, financial statements, program-wise fund utilisation, and auditor details. The Regulation 91E Annual Impact Report list is the fuller governance roster: ownership and legal form, governance structure, names of governing-body members, executives with key responsibilities, number of meetings and attendance, organisation-level risks and mitigation, ethics and conflict-of-interest mechanisms, remuneration policies, stakeholder grievance redressal, the compliance statement, and registration certificates/licenses. The September 19, 2025 circular left the 91E list unchanged but substituted the 91C list with the abridged version above, so items such as detailed board composition, meeting counts, remuneration policy, stakeholder grievance statistics, and registration certificate details were removed from the annual-disclosure form while remaining inside the AIR. The practical reason is deduplication: those items remain reportable once a year through the 91E AIR rather than being repeated in the 91C annual disclosure.",KIMI_REVIEW_ACCEPTED,"[""clf-a2qq7gb1xoviqo0cp5gpbx9o"", ""clf-bnxsalyuec7optc93j5t2m5f""]",kimi_run_000012,memory_0002,,document_diff_or_lineage,"[""version_delta"", ""explicit_exclusions"", ""memorization_of_two_lists""]","[""clf-a2qq7gb1xoviqo0cp5gpbx9o"", ""clf-bnxsalyuec7optc93j5t2m5f""]","[""clf-a2qq7gb1xoviqo0cp5gpbx9o#29"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#30"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#31"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#32"", ""clf-bnxsalyuec7optc93j5t2m5f#5"", ""clf-bnxsalyuec7optc93j5t2m5f#6"", ""clf-bnxsalyuec7optc93j5t2m5f#7""]",accepted,"Supported by #29-32 (Master Circular current 91C short list and 91E long list, with footnote showing substituted prior 91C long list) and clf-bnxsalyuec7optc93j5t2m5f#5-7 (Sep 2025 substitution). Both docs needed to show the before/after delta and deduplication rationale. Strong version-delta question."
kimi_run_000012_q03,2026-07-31,Kimi+OpenCode,metadata knowledge graph,kimi_run_000012,"Our NPO just closed a Zero Coupon Zero Principal issue on the Social Stock Exchange and wants to engage a chartered-accountant friend to audit the Annual Impact Report. Which professionals are actually recognised to assess the AIR, what certification must they hold, and what does the September 2025 change mean for that accountant's role?","A chartered accountant as such cannot sign off the AIR. The report must be assessed by a Social Impact Assessor, defined under Regulation 292A(f) of the ICDR Regulations as an individual registered with a Self-Regulatory Organisation under the Institute of Chartered Accountants of India or another SEBI-specified agency who has qualified the certification programme conducted by the National Institute of Securities Market. The Master Circular also names ICMAI Social Auditors Organization and ICSI Institute of Social Auditors as additional SROs. Before September 19, 2025 the AIR had to be audited by a 'Social Auditor'; after that date the requirement is assessment by a Social Impact Assessor, whose report must be disclosed along with the AIR. The NPO must therefore appoint a NISM-certified Social Impact Assessor registered with one of the recognised SROs, not simply any auditor.",KIMI_REVIEW_ACCEPTED,"[""clf-a2qq7gb1xoviqo0cp5gpbx9o"", ""clf-bnxsalyuec7optc93j5t2m5f""]",kimi_run_000012,memory_0002,,applied_compliance_scenario,"[""professional_role_trap"", ""version_delta"", ""entity_disambiguation""]","[""clf-a2qq7gb1xoviqo0cp5gpbx9o"", ""clf-bnxsalyuec7optc93j5t2m5f""]","[""clf-a2qq7gb1xoviqo0cp5gpbx9o#37"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#39"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#40"", ""clf-bnxsalyuec7optc93j5t2m5f#9""]",accepted,"Supported by #37 (AIR assessed by Social Impact Assessor, disclose report), #39-40 (Reg 292A(f) definition: SRO under ICAI/other agency + NISM certification; ICMAI SAO and ICSI ISA as additional SROs), and amendment doc #9 (Sep 2025 shift from Social Auditor to Social Impact Assessor). Both docs needed; professional role trap is practical and human-shaped."
kimi_run_000012_q04,2026-07-31,Kimi+OpenCode,metadata knowledge graph,kimi_run_000012,"Our not-for-profit organisation wants to register on the Social Stock Exchange but will not list any Zero Coupon Zero Principal instruments this year. Which legal forms can we use to register, and without any listed security do we still have to produce an Annual Impact Report?","The NPO may register as a charitable trust under the Indian Trusts Act, 1882 or the relevant State public-trust statute, a trust registered under the Indian Registration Act, 1908 in States without a public-trust law, a charitable society under the Societies Registration Act, 1860 or the corresponding State Act, or a company under section 8 of the Companies Act, 2013 (including a section 25 company under the repealed 1956 Act). Registration triggers two annual obligations even without listing: the Regulation 91C annual disclosures and the Regulation 91E Annual Impact Report. Because the NPO is registered without listing any security, the AIR is self-reported; it must cover the NPO's significant activities, explain the significance methodology, and cover at least 67% of the previous year's program expenditure. The AIR still has to be filed by October 31st or the income-tax return due date, whichever is later.",KIMI_REVIEW_ACCEPTED,"[""clf-a2qq7gb1xoviqo0cp5gpbx9o"", ""clf-bnxsalyuec7optc93j5t2m5f""]",kimi_run_000012,memory_0002,,applied_compliance_scenario,"[""eligibility_classification"", ""threshold_trap"", ""fake_negative""]","[""clf-a2qq7gb1xoviqo0cp5gpbx9o"", ""clf-bnxsalyuec7optc93j5t2m5f""]","[""clf-a2qq7gb1xoviqo0cp5gpbx9o#8"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#9"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#10"", ""clf-bnxsalyuec7optc93j5t2m5f#3"", ""clf-bnxsalyuec7optc93j5t2m5f#4"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#29"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#30"", ""clf-a2qq7gb1xoviqo0cp5gpbx9o#33"", ""clf-bnxsalyuec7optc93j5t2m5f#9""]",accepted,"Supported by Master Circular chunks 8-10 (eligible legal forms: Trusts Act 1882, State public trust, Registration Act 1908, Societies Act 1860/State, Section 8 Companies Act 2013 incl. s.25) and chunks 29-30 (91C/91E obligations) plus amendment doc chunks 3-4 (eligible forms repeated in Sep 2025 circular) and 8-9 (AIR self-report + 67% threshold). Both docs needed; practical registration + fake-negative AIR obligation question."
kimi_run_000018_q01,2026-08-03,Kimi+OpenCode,metadata knowledge graph,kimi_run_000018,"A unitholder holds more than 10% of a listed infrastructure trust and, in a separate capacity as a lender to the investment manager, already has a contractual right to nominate a director on the investment manager's board. The unitholder now wants to appoint a Unitholder Nominee Director under the May 2024 InvIT Master Circular. Is this permitted after SEBI's August 2024 amendment, and would the answer be the same for a REIT?","Under the May 15, 2024 InvIT Master Circular, an entity (or its associate) that already has the right to nominate a director as a shareholder or lender to the investment manager, the InvIT, or its HoldCo/SPV is barred from nominating a Unitholder Nominee Director. However, the August 6, 2024 amendment carves out an exception: this bar does not apply if the lender's right to appoint the nominee director is available under clause (e) of sub-regulation (1) of regulation 15 of the SEBI (Debenture Trustees) Regulations, 1993. So, for an InvIT, the result depends on whether the lender's nomination right comes from that debenture-trustee provision. For a REIT, the May 15, 2024 Master Circular imposes the same conflict bar but no corresponding August 2024 carve-out applies; the lender-unitholder would therefore remain disqualified from appointing a Unitholder Nominee Director.",KIMI_REVIEW_ACCEPTED,"[""clf-f2iyuw2bbdc9fs0wqkk3ds95"", ""clf-p3pgjyerbx5zeo44msc3ds4p"", ""clf-hkddnw02ls2pjut1i7xb2apx""]",kimi_run_000018,memory_0008,,document_diff_or_lineage,"[""conditional_exception_trap"", ""cross_vehicle_divergence""]","[""clf-f2iyuw2bbdc9fs0wqkk3ds95"", ""clf-p3pgjyerbx5zeo44msc3ds4p"", ""clf-hkddnw02ls2pjut1i7xb2apx""]","[""clf-f2iyuw2bbdc9fs0wqkk3ds95#163"", ""clf-p3pgjyerbx5zeo44msc3ds4p#0"", ""clf-p3pgjyerbx5zeo44msc3ds4p#2"", ""clf-hkddnw02ls2pjut1i7xb2apx#147""]",accepted,"InvIT MC conflict bar and August 2024 carve-out under Reg. 15(1)(e) of Debenture Trustees Regulations are cited and verified; REIT MC has the same bar without the carve-out, yielding a clean cross-vehicle divergence."
kimi_run_000018_q02,2026-08-03,Kimi+OpenCode,metadata knowledge graph,kimi_run_000018,"An investor misses claiming a distribution from a trust. If the payment remains unpaid for 15 days from the date of declaration, what is the manager's deadline to move the amount to the Unpaid Distribution Account, what interest applies if the manager delays, and after how many years must the remaining balance be transferred to the IPEF? Is the rule the same for REITs and InvITs?","If the amount is unclaimed or unpaid for 15 days from the date of declaration, the manager must transfer it to the Unpaid Distribution Account within seven working days from the expiry of that 15-day period. If the manager defaults on this transfer, it must pay interest at 12% per annum on the delayed amount for the period of default, which accrues to the unitholder and cannot be recovered from the trust as fees. Any amount left in the Unpaid Distribution Account for seven years from the due date of transfer must be moved to the Investor Protection and Education Fund within 30 days; failure attracts a penalty of Rs. 1 lakh plus Rs. 500 for each continuing day, up to Rs. 10 lakh. Both REITs and InvITs follow the same timelines, interest rate, and IPEF transfer discipline.",KIMI_REVIEW_ACCEPTED,"[""clf-f2iyuw2bbdc9fs0wqkk3ds95"", ""clf-hkddnw02ls2pjut1i7xb2apx""]",kimi_run_000018,memory_0008,,operational_timeline_or_remedy,"[""threshold_date_traps"", ""parallel_vehicle_confirmation""]","[""clf-f2iyuw2bbdc9fs0wqkk3ds95"", ""clf-hkddnw02ls2pjut1i7xb2apx""]","[""clf-f2iyuw2bbdc9fs0wqkk3ds95#246"", ""clf-f2iyuw2bbdc9fs0wqkk3ds95#249"", ""clf-hkddnw02ls2pjut1i7xb2apx#211"", ""clf-hkddnw02ls2pjut1i7xb2apx#213""]",accepted,"Transfer deadlines (15 days + 7 working days), 12% default interest, 7-year IPEF transfer, and penalty are supported by InvIT and REIT master circular chunks; the cross-vehicle confirmation is the memorization target."
kimi_run_000018_q03,2026-08-03,Kimi+OpenCode,metadata knowledge graph,kimi_run_000018,"What common eligibility conditions must a person satisfy to be appointed as a Unitholder Nominee Director for both a REIT and an InvIT, and what is the source of the 'fit and proper' test? If the candidate has been debarred from accessing the capital markets, can either trust appoint the person?","For both REITs and InvITs, a Unitholder Nominee Director candidate must be 'fit and proper' according to Schedule II of the SEBI (Intermediaries) Regulations, 2008. In addition, the person must not be a willful defaulter or fraudulent borrower, must not appear on any list of disqualified directors issued by the Ministry of Corporate Affairs, must not be debarred from accessing the capital markets by SEBI or any other authority, and must not have been a promoter or director of an entity so debarred. Because being debarred from capital markets is an explicit disqualification, neither a REIT nor an InvIT may appoint such a candidate as a Unitholder Nominee Director.",KIMI_REVIEW_ACCEPTED,"[""clf-hkddnw02ls2pjut1i7xb2apx"", ""clf-f2iyuw2bbdc9fs0wqkk3ds95""]",kimi_run_000018,memory_0008,,checklist_compliance_audit,"[""common_obligation_across_documents"", ""negative_or_absence_check""]","[""clf-hkddnw02ls2pjut1i7xb2apx"", ""clf-f2iyuw2bbdc9fs0wqkk3ds95""]","[""clf-hkddnw02ls2pjut1i7xb2apx#152"", ""clf-f2iyuw2bbdc9fs0wqkk3ds95#166""]",accepted,"Common UND eligibility checklist including 'fit and proper' under Schedule II of SEBI (Intermediaries) Regulations, 2008 and capital-markets debarment is directly supported by both REIT and InvIT master circulars."
kimi_run_000021_q01,2026-08-03,Kimi+OpenCode,metadata knowledge graph,kimi_run_000021,"SEBI first issued a notice attaching Mukesh Chauradiya's bank, demat and mutual fund accounts under Recovery Certificate No. 7426 of 2023, and about a month later directed banks and mutual funds to remit the attached amounts. What shift in the statutory basis did the remittance order introduce compared with the attachment notice?","The June 13, 2024 attachment notice cites powers under section 28A(1) and 11(2)(ia) of the SEBI Act, 1992 read with section 226 and the Second Schedule to the Income-tax Act, 1961. The July 15, 2024 remittance order, by contrast, is issued under section 28A and 28B of the SEBI Act, 1992 as amended by the Securities Laws (Amendment) Act, 2014, read with sections 220 to 227, 228A, 229 and 232, the Second and Third Schedules to the Income-tax Act, 1961 and the Income-tax (Certificate Proceedings) Rules, 1962.",KIMI_REVIEW_ACCEPTED,"[""clf-y6amtzn6xa02tqr38ndbhbis"", ""clf-axeupqp75m04g8fsvvm7qv35""]",kimi_run_000021,memory_0010,,document_diff_or_lineage,"[""statutory_basis_delta"", ""procedural_escalation""]","[""clf-y6amtzn6xa02tqr38ndbhbis"", ""clf-axeupqp75m04g8fsvvm7qv35""]","[""clf-y6amtzn6xa02tqr38ndbhbis#5"", ""clf-axeupqp75m04g8fsvvm7qv35#4""]",accepted,Directly supported by cited attachment and remittance chunks; both documents needed to identify the statutory-basis escalation from s.28A(1)/11(2)(ia)+IT s.226 to s.28A+s.28B with broader IT Act provisions.
kimi_run_000021_q02,2026-08-03,Kimi+OpenCode,metadata knowledge graph,kimi_run_000021,"In the Hiran Orgochem GDR matter, SEBI's Recovery Certificates 7396 (Arun Panchariya) and 7426 (Mukesh Chauradiya) both trace back to the same Adjudicating Officer order dated 11.07.2023. Comparing the attachment notices, what three material differences emerge in the scale of dues, the interest period applied, and the SEBI office that handled the recovery?","First, scale: RC 7396 against Arun Panchariya was for Rs. 26,25,01,000 (penalty of Rs. 25 crore plus interest of Rs. 1.25 crore and cost of Rs. 1,000), whereas RC 7426 against Mukesh Chauradiya was for Rs. 21,21,000 (penalty of Rs. 20 lakh, interest of Rs. 1.2 lakh and cost of Rs. 1,000). Second, interest period: Arun's notice computes interest from July 2023 to November 2023, while Mukesh's notice computes interest from July 2023 to December 2023. Third, handling office and officer: Arun's notices were issued from Mumbai by Recovery Officer J. Ashok Kumar on January 1, 2024; Mukesh's notices were issued from Ahmedabad by Recovery Officer Vikas Sukhwal on June 13, 2024.",KIMI_REVIEW_ACCEPTED,"[""clf-swjfobdym6djk744fsavjx3j"", ""clf-y6amtzn6xa02tqr38ndbhbis""]",kimi_run_000021,memory_0010,,entity_cross_reference,"[""scale_disparity"", ""same_AO_order"", ""office_and_officer_disambiguation""]","[""clf-swjfobdym6djk744fsavjx3j"", ""clf-y6amtzn6xa02tqr38ndbhbis""]","[""clf-swjfobdym6djk744fsavjx3j#0"", ""clf-swjfobdym6djk744fsavjx3j#1"", ""clf-swjfobdym6djk744fsavjx3j#4"", ""clf-y6amtzn6xa02tqr38ndbhbis#0"", ""clf-y6amtzn6xa02tqr38ndbhbis#1"", ""clf-y6amtzn6xa02tqr38ndbhbis#5""]",accepted,"Cross-defaulter comparison is well-supported by both RC 7396 and RC 7426 attachment notices; teaches distinct scale, interest-period, and office/officer memory targets."
kimi_run_000021_q03,2026-08-03,Kimi+OpenCode,metadata knowledge graph,kimi_run_000021,"The June 13, 2024 RC 7426 attachment consisted of two notices — Attachment Proceeding No. 12187 for bank accounts and Attachment Proceeding No. 12188 for demat/MF folios. Why did the July 15 remittance order still have to refer to both proceeding numbers, and where was the money to be sent?","The remittance order covered both banks and mutual funds and therefore consolidated both attachment proceedings. It explicitly refers to 'Attachment Proceeding Nos. 12187 and 12188 of 2024' and directs all banks and mutual funds holding the defaulter's balances to remit the outstanding amount forthwith by EFT/NEFT/RTGS to a single designated account: 'SEBIRRD PEN7426' of ICICI Bank, IFSC code ICIC0000106, and to email the remittance details to recoverywro@sebi.gov.in.",KIMI_REVIEW_ACCEPTED,"[""clf-y6amtzn6xa02tqr38ndbhbis"", ""clf-axeupqp75m04g8fsvvm7qv35""]",kimi_run_000021,memory_0010,,operational_timeline_or_remedy,"[""procedural_chain"", ""dual_attachment_proceedings"", ""account_destination""]","[""clf-y6amtzn6xa02tqr38ndbhbis"", ""clf-axeupqp75m04g8fsvvm7qv35""]","[""clf-y6amtzn6xa02tqr38ndbhbis#0"", ""clf-y6amtzn6xa02tqr38ndbhbis#6"", ""clf-axeupqp75m04g8fsvvm7qv35#0"", ""clf-axeupqp75m04g8fsvvm7qv35#1""]",accepted,Procedural link between the two attachment proceedings (AP 12187/12188) and the single remittance destination is directly stated in the cited chunks.
